Schema Name,Field Name
TermStatistics,termId
TermStatistics,averageScore
TermStatistics,minScore
TermStatistics,maxScore
TermStatistics,medianScore
TermStatistics,averageRequirementCount
TermStatistics,minRequirementCount
TermStatistics,maxRequirementCount
TermStatistics,medianRequirementCount
TermStatistics,"}, { _id"
CourseMetrics,courseId
CourseMetrics,name
CourseMetrics,termId
CourseMetrics,terms
CourseMetrics,finalScores
CourseMetrics,requirementCounts
CourseMetrics,completedCount
CourseMetrics,notCompletedCount
CourseMetrics,errorCount
CourseMetrics,totalStudents
CourseMetrics,averageFinalScore
CourseMetrics,minFinalScore
CourseMetrics,maxFinalScore
CourseMetrics,medianFinalScore
CourseMetrics,averageRequirementCount
CourseMetrics,minRequirementCount
CourseMetrics,maxRequirementCount
CourseMetrics,medianRequirementCount
CourseMetrics,averageTermScore
CourseMetrics,completionRate
CourseMetrics,// New
CourseMetrics,"}, { _id"
courseDetails,courseId
courseDetails,finalScore
courseDetails,requirementCompletedCount
courseDetails,isModular
courseDetails,isCompleted
courseDetails,courseError
courseDetails,termId
studentAverages,averageFinalScore
studentAverages,averageRequirementCompletedCount
studentAverages,averageFinalScoreCompleted
studentAverages,averageRequirementCompletedCountCompleted
studentAverages,averageFinalScoreNotCompleted
studentAverages,averageRequirementCompletedCountNotCompleted
studentAverages,completedCoursesCount
studentAverages,notCompletedCoursesCount
studentAverages,coursesCount
studentAverages,completionRate
studentDetail,studentId
studentDetail,studentError
studentDetail,averages
studentDetail,coursesDetailsPerStudent
StudentStat,studentId
StudentStat,assignmentsCompleted
StudentStat,totalScore
StudentStat,count
StudentStat,onTimeCount
StudentStat,lateCount
StudentStat,mutedCount
StudentStat,excusedCount
StudentStat,scorePercentages
StudentStat,scores
StudentStat,averageScore
StudentStat,averagePercentage
StudentStat,medianPercentage
StudentStat,firstQuartile
StudentStat,median
StudentStat,thirdQuartile
CourseStat,courseId
CourseStat,studentsEnrolled
CourseStat,totalScore
CourseStat,count
CourseStat,onTimeCount
CourseStat,lateCount
CourseStat,mutedCount
CourseStat,excusedCount
CourseStat,scorePercentages
CourseStat,scores
CourseStat,averageScore
CourseStat,averagePercentage
CourseStat,medianPercentage
CourseStat,firstQuartile
CourseStat,secondQuartile
CourseStat,thirdQuartile
AssignmentStat,assignmentId
AssignmentStat,scores
AssignmentStat,studentsCompleted
AssignmentStat,count
AssignmentStat,totalScore
AssignmentStat,onTimeCount
AssignmentStat,lateCount
AssignmentStat,mutedCount
AssignmentStat,excusedCount
AssignmentStat,scorePercentages
AssignmentStat,averageScore
AssignmentStat,averagePercentage
AssignmentStat,medianPercentage
AssignmentStat,firstQuartile
AssignmentStat,secondQuartile
AssignmentStat,thirdQuartile
ComprehensiveStat,assignments
ComprehensiveStat,courses
ComprehensiveStat,students
Engagement,totalPageViews
Engagement,totalParticipations
Engagement,pageViewSessions
Engagement,"}, { _id"
ScoreDistribution,excellent
ScoreDistribution,good
ScoreDistribution,average
ScoreDistribution,belowAverage
ScoreDistribution,poor
ScoreDistribution,"}, { _id"
CourseEngagement,courseId
CourseEngagement,name
CourseEngagement,totalPageViews
CourseEngagement,totalParticipations
CourseEngagement,assignmentsCount
CourseEngagement,averageFinalScore
CourseEngagement,percentageScores
CourseEngagement,averagePercentageScore
CourseEngagement,terms
CourseEngagement,"}, { _id"
TermEngagement,termId
TermEngagement,name
TermEngagement,totalPageViews
TermEngagement,totalParticipations
TermEngagement,coursesCount
TermEngagement,averageFinalScore
TermEngagement,averagePercentageScore
TermEngagement,studentsCount
TermEngagement,"}, { _id"
StudentEngagement,studentId
StudentEngagement,totalPageViews
StudentEngagement,totalParticipations
StudentEngagement,coursesCount
StudentEngagement,averageFinalScore
StudentEngagement,averagePercentageScore
StudentEngagement,terms
StudentEngagement,"}, { _id"
ScoreInsight,courseId
ScoreInsight,averageScore
ScoreInsight,scoreDistribution
ScoreInsight,"}, { _id"
Participation,date
Participation,term
Participation,courseId
Participation,studentId
Participation,interactionType
Participation,interactionDetail
Participation,"}, { _id"
PageView,date
PageView,term
PageView,courseId
PageView,studentId
PageView,viewCount
PageView,"}, { _id"
Communication,date
Communication,term
Communication,courseId
Communication,studentId
Communication,messageType
Communication,messageCount
Communication,"}, { _id"
EngagementInsights,participation
EngagementInsights,pageViews
EngagementInsights,communication
Metrics,courseId
Metrics,studentCompletion
Metrics,totalStudents
Metrics,completedAllCourses
Metrics,notCompletedAllCourses
Metrics,completedSomeCourses
Metrics,completedAllRequirements
Metrics,notCompletedAllRequirements
Metrics,completedSomeRequirements
Metrics,overallStats
Metrics,finalScore
Metrics,total
Metrics,completed
Metrics,notCompleted
Metrics,averageFinalScore
Metrics,averageFinalScoreCompleted
Metrics,averageFinalScoreNotCompleted
Metrics,min
Metrics,max
Metrics,median
Metrics,minCompleted
Metrics,maxCompleted
Metrics,medianCompleted
Metrics,minNotCompleted
Metrics,maxNotCompleted
Metrics,medianNotCompleted
Metrics,requirementCount
Metrics,total
Metrics,completed
Metrics,notCompleted
Metrics,averageRequirementCompletedCount
Metrics,averageRequirementCompletedCountCompleted
Metrics,averageRequirementCompletedCountNotCompleted
Metrics,min
Metrics,max
Metrics,median
Metrics,minCompleted
Metrics,maxCompleted
Metrics,medianCompleted
Metrics,minNotCompleted
Metrics,maxNotCompleted
Metrics,medianNotCompleted
Metrics,coursesCount
Metrics,total
Metrics,completed
Metrics,notCompleted
Metrics,totalCoursesWithError
Metrics,totalCoursesWithoutError
Metrics,uniqueCoursesCount
Metrics,total
Metrics,completed
Metrics,notCompleted
Metrics,uniqueCoursesCountWithError
Metrics,uniqueCoursesCountWithoutError
Metrics,coursesLists
Metrics,uniqueCourses
Metrics,uniqueCoursesWithError
Metrics,uniqueCoursesWithoutError
Metrics,studentsWithError
Metrics,studentDetails
Metrics,courseMetrics
Metrics,termStatistics
Metrics,assignmentsStatistics
Metrics,engagementAndParticipation
Metrics,overallEngagement
Metrics,courseEngagement
Metrics,termEngagement
Metrics,studentEngagement
Metrics,scoreInsights
Metrics,engagementInsights
Metrics,"}, { _id"
dataset,name
dataset,type
dataset,required
dataset,trim
dataset,description
dataset,type
dataset,required
dataset,type
dataset,type
dataset,required
dataset,enum
dataset,owner
dataset,type
dataset,required
dataset,ref
dataset,createdAt
dataset,type
dataset,default
dataset,generalEngagementMetrics
dataset,date
dataset,count
dataset,generalParticipationMetrics
dataset,date
dataset,count
dataset,metrics
dataset,validationNotes
dataset,type
dataset,required
dataset,default
dataset,data
dataset,type
dataset,timestamps
